title,x_handle,tags
3D Tetris,@RealFredericVC,Arcade
8 pool,@MrDee,"Board,Multiplayer"
AI Bomber Game,@tuantruong,none
Artillery Defense,@craygen9,"Simulation,Action,Shooter"
Asteroid Assault,@NoFlinch,Action
Breaking Balls,@adityakabra,none
Bubble Basher,@JonathanACaruso,none
Builder,@sarperdag,none
Car vs Monsters,@markszymik,Racing
Cops and Robbers,@Khatarnak_Ishan,none
Cybertrucksim,@Hi_Bennie,Racing
Dogfight Arena,@NicolasZu,"Multiplayer,Fighting"
Duke Nukem 3D 2025,@rrmdp,none
Dune Wanderer,@balt1794,none
Dyson Defender,@hankofalltrades,none
Earth Simulation,@rfitzpatrick_io,none
Elemental Combatant,@IsaacXVoxel,none
Emoji Sim,@benwmaddox,Simulation
Flappi Bird,@joshuajohnsonAI,none
Flee Battle,@maxhertan,none
Flight Simulator,@donvito,Simulation
fly.pieter,@levelsio,Racing
Forest Escape,@nomalex_,none
Gladiator Arena,@rfitzpatrick_io,none
Grid Golf,@byteonwire,none
Hot Air Balloon Adventure,@SieversJosua,Adventure
Island Adventure,@jasperdeboer,Adventure
Macro Data Refinement,@mitchposts,Simulation
Mars Landing Simulator,@hi_itsbey,Simulation
Mechazilla!,@grokadegames,Casual
Moonlanders,@jerictan,Simulation
Ophidian,@drewvergara,none
PingPongAI,@NaimeBhuiyan,none
PokeBattle Arena,@rajkstats,none
Pong Arcade,@mischeiwiller,Arcade
Pork Droid,@reignboat,Shooter
Push the Box,@xiaochi2,none
Santa's Letter Quest,@_ByteBender_,none
Snake Trae,@traemikal,Arcade
Society Fail,@Shpigford,none
Space Combat,@jogicodes,"Shooter,Action"
Space Defenders,@jasonleowsg,none
Space Force: Drain The Swamp,@HCBGreatWall,Action
Suika Game,@andrwhcom,none
Super Jumper,@nishant_ty,none
Tanks AI,@d4m1n,none
TideFall,@dyoburon,none
Type Battles,@edwinhayward,none
Vibe Karting,@ThatArrowsmith,Racing
Vibe Sail,@NicolaManzini,none
Word God,@edwinhayward,none
